"id","localityNo","year","week","hasReportedLice","hasMechanicalRemoval","hasBathTreatment","hasInFeedTreatment","hasCleanerFishDeployed","isFallow","avgAdultFemaleLice","avgMobileLice","avgStationaryLice","seaTemperature","bathTreatments","inFeedTreatments","cleanerFish","mechanicalRemoval","timeSinceLastChitinSynthesisInhibitorTreatment"
278944,12982,2017,1,true,false,false,false,false,false,0,0.35,0.35,7.7,"[]","[]",,,
278752,32277,2017,1,true,false,false,false,false,false,0.05,0.17,0.05,6.9,"[]","[]",,,
278465,13563,2017,1,true,true,false,false,false,false,0.13,0.38,0.25,7.1,"[]","[]",,"{""id"":702480,""entireLocality"":false}",
278758,32297,2017,1,true,false,false,false,false,false,0.15,0.22,0.12,7.1,"[]","[]",,,
278298,15196,2017,1,true,false,false,false,false,false,0.3,5.36,0.33,7.1,"[]","[]",,,
278985,13254,2017,1,true,false,false,false,false,false,0.06,0.93,0,7.7,"[]","[]",,,
278138,12357,2017,1,true,false,false,false,false,false,0.28,0.46,0,7.4,"[]","[]",,,
278972,13518,2017,1,true,false,false,false,false,false,0.08,0.17,0.05,5.3,"[]","[]",,,
278466,29816,2017,1,true,false,false,true,false,false,0.05,0.47,0.04,5.69,"[]","[{""id"":710934,""treatmentType"":""InFeed"",""startDate"":null,""endDate"":null,""entireLocality"":true,""treatmentDetail"":[{""id"":714462,""substanceId"":0,""substance"":{""id"":4,""name"":""Diflubenzuron""}}]}]",,,"7.00:00:00"
278707,12988,2017,1,true,false,false,false,false,false,0.05,0.52,0.08,6.53,"[]","[]",,,
278672,11800,2017,1,true,false,false,false,false,false,0.32,4.15,0.95,7.1,"[]","[]",,,
278173,32537,2017,1,true,false,false,false,false,false,0.11,0.19,0.14,5.9,"[]","[]",,,
278859,13305,2017,1,true,false,false,false,false,false,0.25,0.34,0.11,5.5,"[]","[]",,,
278240,13873,2017,1,true,false,false,false,false,false,0.03,0,0,8.8,"[]","[]",,,
278769,31877,2017,1,true,false,false,false,false,false,0,0.15,0.1,6,"[]","[]",,,
278945,13872,2017,1,true,false,false,false,false,false,0,0,0,8.8,"[]","[]",,,
278650,11930,2017,1,true,false,false,false,false,false,0,0.16,0.54,7.2,"[]","[]",,,
278930,13845,2017,1,true,false,false,false,false,false,0.03,0.07,0,7.17,"[]","[]",,,
277965,25055,2017,1,true,true,false,false,false,false,0.08,1.18,0.14,6.73,"[]","[]",,"{""id"":702494,""entireLocality"":true}",
278937,12178,2017,1,true,false,false,false,false,false,0.29,5.46,1.5,5.8,"[]","[]",,,
278793,12308,2017,1,true,false,false,false,false,false,0.12,0.5,0.02,6.8,"[]","[]",,,
278321,23436,2017,1,true,false,false,false,false,false,0.2,0.85,0.65,8.1,"[]","[]",,,
278368,12625,2017,1,true,false,false,false,false,false,0.02,0.03,0,6.23,"[]","[]",,,
278245,34997,2017,1,true,false,false,false,false,false,0.27,0.57,0,6,"[]","[]",,,
