"id","localityNo","year","week","hasReportedLice","hasMechanicalRemoval","hasBathTreatment","hasInFeedTreatment","hasCleanerFishDeployed","isFallow","avgAdultFemaleLice","avgMobileLice","avgStationaryLice","seaTemperature","bathTreatments","inFeedTreatments","cleanerFish","mechanicalRemoval","timeSinceLastChitinSynthesisInhibitorTreatment"
454961,32297,2017,7,true,false,false,false,true,false,0.12,0.17,0,6.3,"[]","[]","{""id"":731330,""liceReport"":null,""entireLocality"":true,""cleanerFishDetail"":[{""id"":756312,""speciesId"":222120,""species"":{""id"":222120,""name"":""Rognkjeks (hun)""},""quantity"":9714},{""id"":756313,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":-115},{""id"":756314,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":-13}]}",,
455147,12982,2017,7,true,false,false,true,false,false,0.07,1.4,1.65,5.6,"[]","[{""id"":711109,""treatmentType"":""InFeed"",""startDate"":""2017-02-07T00:00:00"",""endDate"":""2017-02-22T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":714657,""substanceId"":0,""substance"":{""id"":4,""name"":""Diflubenzuron""}}]},{""id"":711081,""treatmentType"":""InFeed"",""startDate"":""2017-02-07T00:00:00"",""endDate"":""2017-02-22T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":714624,""substanceId"":0,""substance"":{""id"":4,""name"":""Diflubenzuron""}}]},{""id"":711072,""treatmentType"":""InFeed"",""startDate"":""2017-02-07T00:00:00"",""endDate"":""2017-02-22T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":714615,""substanceId"":0,""substance"":{""id"":4,""name"":""Diflubenzuron""}}]},{""id"":711127,""treatmentType"":""InFeed"",""startDate"":""2017-02-07T00:00:00"",""endDate"":""2017-02-22T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":714675,""substanceId"":0,""substance"":{""id"":4,""name"":""Diflubenzuron""}}]},{""id"":711119,""treatmentType"":""InFeed"",""startDate"":""2017-02-07T00:00:00"",""endDate"":""2017-02-22T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":714667,""substanceId"":0,""substance"":{""id"":4,""name"":""Diflubenzuron""}}]},{""id"":711136,""treatmentType"":""InFeed"",""startDate"":""2017-02-07T00:00:00"",""endDate"":""2017-02-22T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":714686,""substanceId"":0,""substance"":{""id"":4,""name"":""Diflubenzuron""}}]},{""id"":711144,""treatmentType"":""InFeed"",""startDate"":""2017-02-07T00:00:00"",""endDate"":""2017-02-22T00:00:00"",""entireLocality"":true,""treatmentDetail"":[{""id"":714696,""substanceId"":0,""substance"":{""id"":4,""name"":""Diflubenzuron""}}]}]",,,"7.00:00:00"
455175,13518,2017,7,true,false,false,false,false,false,0.08,0.18,0.14,3.8,"[]","[]",,,
454667,13563,2017,7,true,false,false,false,false,false,0.45,2.31,1.6,5.8,"[]","[]",,,
454955,32277,2017,7,true,false,false,false,true,false,0.09,0.08,0,6,"[]","[]","{""id"":731329,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":756308,""speciesId"":222120,""species"":{""id"":222120,""name"":""Rognkjeks (hun)""},""quantity"":12915},{""id"":756309,""speciesId"":1691,""species"":{""id"":1691,""name"":""Berggylt""},""quantity"":-1},{""id"":756310,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":-227},{""id"":756311,""speciesId"":1694,""species"":{""id"":1694,""name"":""Grøngylt""},""quantity"":-8}]}",,
454338,12357,2017,7,true,false,false,false,false,false,0.23,0.84,0,6.7,"[]","[]",,,
454374,32537,2017,7,true,false,false,false,true,false,0.05,0.14,0.11,4.9,"[]","[]","{""id"":731283,""liceReport"":null,""entireLocality"":false,""cleanerFishDetail"":[{""id"":756233,""speciesId"":222120,""species"":{""id"":222120,""name"":""Rognkjeks (hun)""},""quantity"":21139}]}",,
454668,29816,2017,7,true,false,false,false,false,false,0.27,1.5,0.58,5.66,"[]","[]",,,
454875,11800,2017,7,true,false,false,false,false,false,0.07,0.52,0.63,4.74,"[]","[]",,,
454910,12988,2017,7,true,true,false,false,false,false,0.21,0.22,0.02,5.51,"[]","[]",,"{""id"":702678,""entireLocality"":false}",
454441,13873,2017,7,true,false,false,false,false,false,0,0.03,0,8.9,"[]","[]",,,
455061,13305,2017,7,true,false,false,false,false,false,0.27,1.13,1.72,4,"[]","[]",,,
454971,31877,2017,7,true,false,false,false,false,false,0.1,0.55,0.3,5.2,"[]","[]",,,
455148,13872,2017,7,true,false,false,false,false,false,0.01,0.03,0,8.9,"[]","[]",,,
455133,13845,2017,7,true,false,false,false,false,false,0.04,0.18,0.02,5.47,"[]","[]",,,
454165,25055,2017,7,true,false,false,false,false,false,0,0.53,0.59,6.3,"[]","[]",,,
454853,11930,2017,7,true,false,false,true,false,false,0.21,1.09,0.2,5.5,"[]","[{""id"":711070,""treatmentType"":""InFeed"",""startDate"":""2017-02-09T00:00:00"",""endDate"":""2017-02-16T00:00:00"",""entireLocality"":false,""treatmentDetail"":[{""id"":714613,""substanceId"":0,""substance"":{""id"":5,""name"":""Emamectin benzoat""}}]}]",,,
454570,12625,2017,7,true,false,false,false,false,false,0.07,0.2,0.17,4.83,"[]","[]",,,
455140,12178,2017,7,true,false,false,false,false,false,0.4,2.69,0.93,6.8,"[]","[]",,,
454996,12308,2017,7,true,false,false,false,false,false,0.09,0.17,0.07,6.2,"[]","[]",,,
454781,11340,2017,7,true,false,false,false,false,false,0.33,1.05,0,4.3,"[]","[]",,,
454446,34997,2017,7,true,false,false,false,false,false,0.93,1.03,0,5.6,"[]","[]",,,
454963,13209,2017,7,true,false,false,false,false,false,0.08,0.65,0.2,6.5,"[]","[]",,,
454840,11399,2017,7,true,false,false,false,false,false,0.23,0.34,0.06,5.6,"[]","[]",,,
454309,13284,2017,7,true,false,false,false,false,false,0.32,1.12,0.05,4.3,"[]","[]",,,
454163,13143,2017,7,true,false,false,false,false,false,0.02,0.22,0.43,4.1,"[]","[]",,,
455161,15796,2017,7,true,false,false,false,true,false,0.13,0.59,0.8,4.6,"[]","[]","{""id"":731299,""liceReport"":null,""entireLocality"":true,""cleanerFishDetail"":[{""id"":756265,""speciesId"":222120,""species"":{""id"":222120,""name"":""Rognkjeks (hun)""},""quantity"":48225},{""id"":756266,""speciesId"":1692,""species"":{""id"":1692,""name"":""Annen leppefisk""},""quantity"":-57},{""id"":756267,""speciesId"":1693,""species"":{""id"":1693,""name"":""Bergnebb""},""quantity"":-156}]}",,
454865,12040,2017,7,true,true,false,false,false,false,0.22,1.35,0.77,6.7,"[]","[]",,"{""id"":702664,""entireLocality"":false}",
454242,10212,2017,7,true,false,false,false,false,false,0.01,0.1,0.02,6,"[]","[]",,,
455173,12594,2017,7,true,false,false,false,false,false,0.49,1.46,0.04,5.16,"[]","[]",,,
454236,28336,2017,7,true,false,false,false,false,false,0.09,0.31,0.01,5.33,"[]","[]",,,
