,count
"[0, 100)",0
"[100, 200)",4
"[200, 300)",18
"[300, 400)",28
"[400, 500)",13
"[500, 600)",9
"[600, 700)",11
"[700, 800)",10
"[800, 900)",1
"[900, 1000)",98
"[1000, 1100)",45
"[1100, 1200)",2
"[1200, 1300)",10
"[1300, 1400)",17
"[1400, 1500)",17
"[1500, 1600)",113
"[1600, 1700)",45
"[1700, 1800)",46
"[1800, 1900)",95
"[1900, 2000)",40
"[2000, 2100)",59
"[2100, 2200)",53
"[2200, 2300)",89
"[2300, 2400)",140
"[2400, 2500)",76
"[2500, 2600)",100
"[2600, 2700)",61
"[2700, 2800)",214
"[2800, 2900)",163
"[2900, 3000)",120
"[3000, 3100)",79
"[3100, 3200)",143
"[3200, 3300)",190
"[3300, 3400)",336
"[3400, 3500)",76
"[3500, 3600)",61
"[3600, 3700)",110
"[3700, 3800)",169
"[3800, 3900)",239
"[3900, 4000)",181
"[4000, 4100)",184
"[4100, 4200)",341
"[4200, 4300)",235
"[4300, 4400)",181
"[4400, 4500)",812
"[4500, 4600)",358
"[4600, 4700)",986
"[4700, 4800)",449
"[4800, 4900)",325
"[4900, 5000)",275
"[5000, 5100)",262
"[5100, 5200)",298
"[5200, 5300)",389
"[5300, 5400)",180
"[5400, 5500)",157
"[5500, 5600)",246
"[5600, 5700)",167
"[5700, 5800)",369
"[5800, 5900)",448
"[5900, 6000)",367
"[6000, 6100)",970
"[6100, 6200)",365
"[6200, 6300)",67
"[6300, 6400)",529
"[6400, 6500)",87
"[6500, 6600)",581
"[6600, 6700)",396
"[6700, 6800)",71
"[6800, 6900)",219
"[6900, 7000)",17
"[7000, 7100)",552
"[7100, 7200)",62
"[7200, 7300)",62
"[7300, 7400)",271
"[7400, 7500)",59
"[7500, 7600)",91
"[7600, 7700)",129
"[7700, 7800)",53
"[7800, 7900)",185
"[7900, 8000)",5
"[8000, 8100)",259
"[8100, 8200)",31
"[8200, 8300)",38
"[8300, 8400)",200
"[8400, 8500)",1
"[8500, 8600)",33
"[8600, 8700)",1
"[8700, 8800)",37
"[8800, 8900)",3
"[8900, 9000)",1
"[9000, 9100)",5
"[9100, 9200)",0
"[9200, 9300)",395
"[9300, 9400)",0
"[9400, 9500)",0
"[9500, 9600)",0
"[9600, 9700)",0
"[9700, 9800)",0
"[9800, 9900)",0
"[9900, 10000)",0
