,depth_map,mask_right,annotations,mask_left
0,depth_map_0.npy,right_0.npy,annot_0.json,left_0.npy
1,depth_map_1.npy,right_1.npy,annot_1.json,left_1.npy
2,depth_map_2.npy,right_2.npy,annot_2.json,left_2.npy
3,depth_map_3.npy,right_3.npy,annot_3.json,left_3.npy
4,depth_map_4.npy,right_4.npy,annot_4.json,left_4.npy
5,depth_map_5.npy,right_5.npy,annot_5.json,left_5.npy
6,depth_map_6.npy,right_6.npy,annot_6.json,left_6.npy
7,depth_map_7.npy,right_7.npy,annot_7.json,left_7.npy
8,depth_map_8.npy,right_8.npy,annot_8.json,left_8.npy
9,depth_map_9.npy,right_9.npy,annot_9.json,left_9.npy
10,depth_map_10.npy,right_10.npy,annot_10.json,left_10.npy
11,depth_map_11.npy,right_11.npy,annot_11.json,left_11.npy
12,depth_map_12.npy,right_12.npy,annot_12.json,left_12.npy
13,depth_map_13.npy,right_13.npy,annot_13.json,left_13.npy
14,depth_map_14.npy,right_14.npy,annot_14.json,left_14.npy
15,depth_map_15.npy,right_15.npy,annot_15.json,left_15.npy
16,depth_map_16.npy,right_16.npy,annot_16.json,left_16.npy
17,depth_map_17.npy,right_17.npy,annot_17.json,left_17.npy
18,depth_map_18.npy,right_18.npy,annot_18.json,left_18.npy
19,depth_map_19.npy,right_19.npy,annot_19.json,left_19.npy
20,depth_map_20.npy,right_20.npy,annot_20.json,left_20.npy
21,depth_map_21.npy,right_21.npy,annot_21.json,left_21.npy
22,depth_map_22.npy,right_22.npy,annot_22.json,left_22.npy
23,depth_map_23.npy,right_23.npy,annot_23.json,left_23.npy
24,depth_map_24.npy,right_24.npy,annot_24.json,left_24.npy
25,depth_map_25.npy,right_25.npy,annot_25.json,left_25.npy
26,depth_map_26.npy,right_26.npy,annot_26.json,left_26.npy
27,depth_map_27.npy,right_27.npy,annot_27.json,left_27.npy
28,depth_map_28.npy,right_28.npy,annot_28.json,left_28.npy
29,depth_map_29.npy,right_29.npy,annot_29.json,left_29.npy
30,depth_map_30.npy,right_30.npy,annot_30.json,left_30.npy
31,depth_map_31.npy,right_31.npy,annot_31.json,left_31.npy
32,depth_map_32.npy,right_32.npy,annot_32.json,left_32.npy
33,depth_map_33.npy,right_33.npy,annot_33.json,left_33.npy
