,depth_map,annotations
0,depth_map_0.npy,annot_0.json
1,depth_map_1.npy,annot_1.json
2,depth_map_2.npy,annot_2.json
3,depth_map_3.npy,annot_3.json
4,depth_map_4.npy,annot_4.json
5,depth_map_5.npy,annot_5.json
6,depth_map_6.npy,annot_6.json
7,depth_map_7.npy,annot_7.json
8,depth_map_8.npy,annot_8.json
9,depth_map_9.npy,annot_9.json
10,depth_map_10.npy,annot_10.json
11,depth_map_11.npy,annot_11.json
12,depth_map_12.npy,annot_12.json
13,depth_map_13.npy,annot_13.json
14,depth_map_14.npy,annot_14.json
15,depth_map_15.npy,annot_15.json
16,depth_map_16.npy,annot_16.json
17,depth_map_17.npy,annot_17.json
18,depth_map_18.npy,annot_18.json
19,depth_map_19.npy,annot_19.json
20,depth_map_20.npy,annot_20.json
21,depth_map_21.npy,annot_21.json
22,depth_map_22.npy,annot_22.json
23,depth_map_23.npy,annot_23.json
24,depth_map_24.npy,annot_24.json
25,depth_map_25.npy,annot_25.json
26,depth_map_26.npy,annot_26.json
27,depth_map_27.npy,annot_27.json
28,depth_map_28.npy,annot_28.json
29,depth_map_29.npy,annot_29.json
30,depth_map_30.npy,annot_30.json
31,depth_map_31.npy,annot_31.json
32,depth_map_32.npy,annot_32.json
33,depth_map_33.npy,annot_33.json
34,depth_map_34.npy,annot_34.json
35,depth_map_35.npy,annot_35.json
36,depth_map_36.npy,annot_36.json
37,depth_map_37.npy,annot_37.json
38,depth_map_38.npy,annot_38.json
39,depth_map_39.npy,annot_39.json
40,depth_map_40.npy,annot_40.json
41,depth_map_41.npy,annot_41.json
42,depth_map_42.npy,annot_42.json
43,depth_map_43.npy,annot_43.json
44,depth_map_44.npy,annot_44.json
45,depth_map_45.npy,annot_45.json
46,depth_map_46.npy,annot_46.json
47,depth_map_47.npy,annot_47.json
48,depth_map_48.npy,annot_48.json
49,depth_map_49.npy,annot_49.json
50,depth_map_50.npy,annot_50.json
51,depth_map_51.npy,annot_51.json
52,depth_map_52.npy,annot_52.json
53,depth_map_53.npy,annot_53.json
54,depth_map_54.npy,annot_54.json
55,depth_map_55.npy,annot_55.json
56,depth_map_56.npy,annot_56.json
57,depth_map_57.npy,annot_57.json
58,depth_map_58.npy,annot_58.json
59,depth_map_59.npy,annot_59.json
60,depth_map_60.npy,annot_60.json
61,depth_map_61.npy,annot_61.json
62,depth_map_62.npy,annot_62.json
63,depth_map_63.npy,annot_63.json
64,depth_map_64.npy,annot_64.json
65,depth_map_65.npy,annot_65.json
66,depth_map_66.npy,annot_66.json
67,depth_map_67.npy,annot_67.json
68,depth_map_68.npy,annot_68.json
69,depth_map_69.npy,annot_69.json
70,depth_map_70.npy,annot_70.json
71,depth_map_71.npy,annot_71.json
72,depth_map_72.npy,annot_72.json
73,depth_map_73.npy,annot_73.json
74,depth_map_74.npy,annot_74.json
75,depth_map_75.npy,annot_75.json
76,depth_map_76.npy,annot_76.json
77,depth_map_77.npy,annot_77.json
78,depth_map_78.npy,annot_78.json
79,depth_map_79.npy,annot_79.json
80,depth_map_80.npy,annot_80.json
81,depth_map_81.npy,annot_81.json
82,depth_map_82.npy,annot_82.json
83,depth_map_83.npy,annot_83.json
84,depth_map_84.npy,annot_84.json
85,depth_map_85.npy,annot_85.json
86,depth_map_86.npy,annot_86.json
87,depth_map_87.npy,annot_87.json
88,depth_map_88.npy,annot_88.json
89,depth_map_89.npy,annot_89.json
90,depth_map_90.npy,annot_90.json
91,depth_map_91.npy,annot_91.json
92,depth_map_92.npy,annot_92.json
93,depth_map_93.npy,annot_93.json
94,depth_map_94.npy,annot_94.json
95,depth_map_95.npy,annot_95.json
96,depth_map_96.npy,annot_96.json
97,depth_map_97.npy,annot_97.json
98,depth_map_98.npy,annot_98.json
99,depth_map_99.npy,annot_99.json
100,depth_map_100.npy,annot_100.json
101,depth_map_101.npy,annot_101.json
102,depth_map_102.npy,annot_102.json
103,depth_map_103.npy,annot_103.json
104,depth_map_104.npy,annot_104.json
105,depth_map_105.npy,annot_105.json
106,depth_map_106.npy,annot_106.json
107,depth_map_107.npy,annot_107.json
108,depth_map_108.npy,annot_108.json
109,depth_map_109.npy,annot_109.json
110,depth_map_110.npy,annot_110.json
111,depth_map_111.npy,annot_111.json
112,depth_map_112.npy,annot_112.json
113,depth_map_113.npy,annot_113.json
114,depth_map_114.npy,annot_114.json
115,depth_map_115.npy,annot_115.json
116,depth_map_116.npy,annot_116.json
117,depth_map_117.npy,annot_117.json
118,depth_map_118.npy,annot_118.json
119,depth_map_119.npy,annot_119.json
120,depth_map_120.npy,annot_120.json
121,depth_map_121.npy,annot_121.json
122,depth_map_122.npy,annot_122.json
123,depth_map_123.npy,annot_123.json
124,depth_map_124.npy,annot_124.json
125,depth_map_125.npy,annot_125.json
