,Adipose Fin,Anal Fin,Body,Caudal Fin,Dorsal Fin,Eye,Head,Pectoral Fin,Pelvic Fin,ground_truth,left_image_key
0,"[0.3533599122766633, 1.061406257737926, 0.10408944058981733]","[0.4496068192435007, 0.9694752749713881, 0.04939458377430833]","[0.3297388591802493, 1.0206417668432226, -0.12473710575260256]","[0.4302658781424869, 0.9049052329446159, 0.18176604363469076]","[0.23441985442774377, 1.1217624024522008, -0.10535925197119982]","[0.21315495030473505, 0.9731608623256097, -0.40119721905345107]","[0.22497533499960856, 0.9648682883220462, -0.38301335460538055]","[0.3528181559113805, 1.021778647630692, -0.3413188513078681]","[0.4651457177924336, 1.0348288680490638, -0.11000044689094379]",4480,cjn1hqb108rkj0733roqk08dn
1,"[0.17890683792706163, 1.43941257519475, -0.2619906830912264]","[0.34720857177112113, 1.3809124561634418, -0.2760125232962216]","[0.32870780846122893, 1.2536412300353919, -0.045791762464171784]","[0.157560256213009, 1.298951214177456, -0.40416532034486585]","[0.24632497205658546, 1.3786444282287524, -0.0005883809454877406]","[0.44830540835804333, 1.2670021839641976, 0.2623208330315908]","[0.4447090431971473, 1.2615028817377152, 0.2405742440537246]","[0.5228988820310883, 1.260216557391021, 0.14474781728738112]","[0.4599335601025286, 1.30538786218179, -0.11206358854755367]",3949,cjn1h8c7atwnb0710bfbcvrny
2,"[-0.1886368864494587, 0.7885068278391864, 0.007062119509667499]","[-0.06602861376093526, 0.755166254836418, 0.02015293611644275]","[-0.04392890236996945, 0.8412708046139512, -0.11661381833925147]","[-0.16562343311844038, 0.7235547984260902, 0.11266620995228328]","[-0.12568579545616604, 0.8841857168290042, -0.14418151682873645]","[0.03705466922973002, 0.8953793398481659, -0.3624537696142639]","[0.042522228931818666, 0.9145555880619318, -0.34368066612446846]","[0.09210775892577644, 0.8968793671772949, -0.27022520562638097]","[0.04914189163201885, 0.847076414027251, -0.0809724193707503]",2773,cjn1j2he89fld0733u6cfgds0
3,"[-0.13697688808971484, 0.691534319725055, 0.04752084006065718]","[-0.0004981552214548085, 0.7014116467243828, 0.018463434692578037]","[-0.05445992808134897, 0.6311736114129097, -0.1339110937460083]","[-0.08605040171614156, 0.5208960436239324, 0.0910768311883567]","[-0.1708422061114214, 0.815713770229774, -0.14110639138946718]",,"[-0.08341577471267886, 0.7327616125271699, -0.39274739515246304]","[0.015818013596178276, 0.7706067228625896, -0.3530005449317802]","[0.06208985017064097, 0.8032490771966151, -0.12775330216850292]",4315,cjn1jrm8cv8290710h7skf19t
4,"[-0.24441942943977202, 0.9683524395560915, -0.3426365408769361]","[-0.09000877833973246, 0.8990066878173062, -0.3491890219664475]","[-0.05035971995060542, 0.9371576217632664, -0.1594438560576298]","[-0.20566664719783234, 0.8348369541506214, -0.449034523929083]","[-0.16021824115876873, 1.0599177431533902, -0.12071898107568516]","[0.08662509206812088, 1.0692294105121025, 0.14152178744123012]","[0.08844643115418903, 1.036751589974282, 0.11169336057853316]","[0.15162363337534085, 1.0169545738887438, 0.04590116362945139]","[0.05028265648038733, 0.9774832288012704, -0.21850806821161944]",4480,cjn1io29p97r60733yacekwgr
5,"[-0.1775964280930739, 1.3491413573493707, 0.03799551145626453]","[-0.06659863854727072, 1.4298919608827338, -0.004486105595807603]","[-0.22321516114618511, 1.346070769676535, -0.15879712892402803]","[-0.040991798285548664, 1.3471096123018167, 0.11416977527073965]","[-0.3203483015714586, 1.373411110102758, -0.12188684511434986]","[-0.34743795511361364, 1.246659459516055, -0.3804045157386731]","[-0.3284012601527014, 1.2573935339687576, -0.37359277367208316]","[-0.24788621334629599, 1.391787867266261, -0.3244741905079236]","[-0.10631274813460799, 1.4033151807474693, -0.15493534602506112]",2773,cjn1ilr3uulh80710fx8szved
6,"[0.22937286822794184, 1.062195612839109, -0.2575371739067998]","[0.3423365363778058, 1.0933006498207458, -0.20245183523253377]","[0.1445405632190433, 1.0922689059937813, -0.12379625405499387]","[0.40153154335497737, 1.098187583383595, -0.30265947072388233]","[0.08007550508052895, 1.119638454549613, -0.16843608918667627]","[-0.09649525815758993, 1.0603050036461148, 0.03418470854812912]","[-0.0683496374949009, 1.0934160403492574, 0.03560653800794651]","[0.04663209734013925, 1.0116413851883295, 0.004708466837751284]","[0.23774978923156753, 1.0755516177544981, -0.10462184899001226]",1957,cjn1gbt0xtg990710s31674rf
7,"[-0.3620948522907704, 1.0953788565797165, -0.15347575313723]","[-0.23199110155642685, 1.1233969423700698, -0.13544368396714968]","[-0.2169791578099737, 1.1038899423904254, -0.32466881897564004]","[-0.363747865464577, 1.0754808398139308, -0.07708174668058676]","[-0.34572802188331586, 1.183497955866369, -0.34105651848716445]",,"[-0.14714961845295982, 1.02886605381038, -0.5303394783640489]","[-0.0935533332615174, 1.0551389450985058, -0.4597915116484494]","[-0.12393492569075218, 1.1255796604135764, -0.2588612550438773]",3949,cjn1h79eitw4j0710x8wui6mx
8,"[-0.15501724083819343, 0.7183228315061935, 0.10736153091313963]","[-0.025602535513502705, 0.7015094249362424, 0.07088884803446781]","[-0.09316598686917943, 0.6400176094076773, -0.11084960007402399]","[-0.0751777166795495, 0.5703846898779542, 0.1815503438543967]","[-0.21769135816689678, 0.7869802868923581, -0.11079712615679303]","[-0.13568184742981762, 0.6072919414065919, -0.36684332500352695]","[-0.13139792870461134, 0.6466263185235177, -0.3655846217342025]","[-0.03833995299459493, 0.7063642788918842, -0.31646368069269676]","[0.01147637353325419, 0.7912825165526925, -0.09104757670592177]",4315,cjn1jk2bu9pgy07334t2tkq8k
9,"[-0.0015388360055249952, 0.9348189086830004, -0.0022932630627378508]","[0.1258273255905015, 0.9387941162766376, -0.034841579758877264]","[0.0030799013225638527, 0.9352828157658316, -0.18506849336457035]","[0.08153571103182285, 0.8094613313749502, 0.0799066457027132]","[-0.09089025720604164, 0.9937792485356206, -0.1771865459856205]","[-0.10350447676640114, 0.9345724667042314, -0.4334659035594974]","[-0.09382456802486086, 0.9594007186901569, -0.4231648654565269]","[0.004889958468949118, 0.9594011241205862, -0.3787872711857633]","[0.1356766693193201, 0.9978656664584142, -0.19527551198641963]",3164,cjn1ifc9o93lr073376ss48s5
