,Adipose Fin,Anal Fin,Caudal Fin,Dorsal Fin,Head,Pectoral Fin,Pelvic Fin,ground_truth,left_image_key
0,,,"[0.26109786871933544, -0.5057389034197594, -0.11616555854267988]",,"[-0.02692514148337992, -0.8320723150984823, 0.24679146374135857]","[0.2400843262648006, 5.376920401340931, -1.2221676582006802]","[0.2078026975657419, -0.5449021739499399, -0.08018042430216676]",5981,1219
1,,"[-0.14317639899439175, -0.582481017086039, 0.13348937360285018]","[-0.010128778020122464, -0.7868224413981927, 0.34626956719524044]","[-0.06641001885417683, -0.6182794901818305, -0.06992045404228384]","[-0.19184670059307166, -0.5543744849649755, -0.2926645316486872]","[-0.26380587174895015, -0.5555109242051738, -0.2228756302978436]",,3315,15169
2,"[0.015709215093316173, -0.5398176048742483, 0.04428318642288169]",,"[-0.1209115847201824, -0.582709766662098, 0.18255541655921634]",,,,,3710,14353
3,"[0.05447762319763428, -0.6222186754576455, -0.24517960469003003]","[-0.08285276863434958, -0.6087306121174448, -0.2349427601243708]","[0.01349323175070477, -0.6226473344733056, -0.36401443290253954]","[0.07502712511275245, -0.6352801065200154, -0.03661202425770421]","[0.027684340105418443, -0.6681945668932365, 0.25459732057129675]","[-0.09155692369578855, -0.5495912156433961, 0.13975481418380334]","[-0.13154942793296473, -0.6659963687551327, -0.06212035509177034]",3760,12380
4,"[0.22915342821679457, -0.5386754142282015, -0.24333941923987393]","[0.05533554726942855, -0.2833682130747522, -0.13003261809098635]","[0.2940927144821717, -0.7390344436071142, -0.4558480308854804]","[0.20533524969233635, -0.5981680582265116, -0.0670076517018522]","[0.10989135713334104, -0.6360871214259126, 0.21242401428109825]","[-0.005603642517063453, -0.6093368329340686, 0.1360668249683166]",,3710,14235
5,"[0.16474529078819, -0.9119930261679117, 0.23204802106687328]","[0.037831105966391755, -0.9386072828477231, 0.22512281340434512]","[0.12981657557126142, -0.8566036237245053, 0.1065548017461929]","[0.16811983783815754, -0.9435879353383664, 0.44016131956684595]",,,"[-0.03083987405484416, -0.9251434731129607, 0.37366020032354097]",1957,3824
6,"[0.17456209290550181, -0.8038213308939778, 0.24553494630466213]","[0.04262431362910605, -0.8116908845268445, 0.3001820265877666]","[0.3010600959623028, -0.9765344282618892, 0.4676727536178064]","[0.04384740776098353, -0.8108026187184132, 0.05345675241671055]","[-0.20650135011558912, -0.860215470642912, -0.14876472382344882]","[-0.2635221415655308, -0.8190994163625757, -0.08498848607162539]","[-0.14311442111730666, -0.8334003017981803, 0.17802673268773309]",4480,2191
7,"[0.2914638531917726, -0.5829830388580699, -0.2549212350799812]","[0.1611208105086047, -0.612103590528634, -0.2694059904322538]","[0.31811241151520386, -0.7149658667317143, -0.43571063694151174]","[0.2648171487672927, -0.6013550686321643, -0.07514558760549993]","[0.18081644150729242, -0.6166357177926044, 0.2106841338566213]","[0.06260340362552824, -0.5937726088764964, 0.12432534987203862]",,3710,14230
8,,,"[-1.196305376824722, 1.8833722019438595, -1.0709118855798188]",,,,,5981,1157
9,"[0.11501512101696737, -0.8542217433259595, -0.3286049948329874]","[-0.010667737458197811, -0.8793523495681629, -0.2726588471495993]","[-0.008206603776669751, -0.8653165763882584, -0.418323125839441]","[0.22961545018091228, -0.8395920937422201, -0.14063142449873803]","[0.30027259366953074, -0.7533754437313207, 0.1792965707184005]","[0.14937886054222896, -0.8001551392993822, 0.10676047550473246]","[0.03801048574063841, -0.8511765647058428, -0.10085559023411346]",5395,6757
10,"[0.3863879794387279, -0.7455284970056163, -0.19917415167290947]","[0.2176122559195625, -0.7721528359704012, -0.1767739236384211]","[0.29855787352495133, -0.7385954817941917, -0.3300840510436109]","[0.446364946726008, -0.7849467221700483, 0.07126063623881854]","[0.3231209555698213, -0.895155340618229, 0.3956919746893629]","[0.22993327620233203, -0.8593400176448639, 0.284479905767222]","[0.17128253655572806, -0.8055226609617347, 0.01932839030032832]",5981,1100
11,,"[0.15962639403236076, -0.616919000083111, 0.19136945349373835]","[0.43967377375104644, -0.7711043878443397, 0.24043624312055362]",,,,"[0.07219708527047708, -0.5491979440383988, 0.08108424107873448]",6355,14690
12,,"[0.12705027839644714, -0.6736020517555267, 0.2703591431434354]",,"[0.3825553147168092, -0.6514820715717149, 0.06563306881736163]","[0.29906849044271727, -0.544362386667267, -0.22062846802850755]",,"[0.11857687066069805, -0.6771335812241508, 0.07429992065040919]",5981,1162
13,"[-0.2201141724589567, -0.6852838807545313, 0.16442961020016428]","[-0.35438155364211854, -0.6676942524465627, 0.14705107742524087]","[-0.3563376047015404, -0.942261487507992, 0.4395313132562374]",,"[-0.19493546836836165, -0.5668566725162177, -0.3093303600920293]","[-0.31732275710856966, -0.5732943226517261, -0.25239765296924827]",,3760,12218
14,"[0.16602334314500225, -0.7529216130271817, 0.193030746233633]","[-0.0005767453320555696, -0.7229070918721588, 0.1873211047799155]","[0.1734044585859265, -0.9646158418292536, 0.45585824545375064]",,"[0.07220786668566857, -0.6123397715988427, -0.3216246115747539]","[-0.038722500517499245, -0.6268380996290939, -0.2619240761815847]",,4665,11159
15,,"[0.9563379381920992, 4.29378678979119, -1.7190024603971135]","[0.037161220276302025, -6.469347118510862, 3.8917141555415538]","[-0.03735312960634426, -0.6416443355622012, 0.02798123348744582]","[-0.15361481937442534, -0.5822418952503448, -0.20657678327158985]","[-0.22910970153005972, -0.5780895376476604, -0.1354050272496752]",,3315,15170
16,"[0.5201753641255615, -0.9633690899148113, -0.052847163281166176]","[0.41790371956375827, -0.9863944161325416, -0.08907857843837715]","[0.40745881637471193, -0.9646243391663005, 0.02947602437508408]","[0.6807340515810546, -1.0772672428010652, -0.1617902736540072]","[0.7000689640340209, -1.205063428360006, -0.349433409882404]",,"[0.4304995762598987, -0.9773666536835095, -0.1935894795281888]",2121,3049
17,"[0.10629599714005225, -0.6572294900933857, -0.37704670875541374]","[-0.01301503828747314, -0.6810468104650155, -0.34689145130437854]",,"[0.15106486409243375, -0.6209825077223567, -0.21140183398994095]","[0.09898030855812036, -0.5862091694679572, 0.044952741755620015]","[0.004558090765885281, -0.5590925488515672, -0.02750228138517883]","[-0.06052244169300109, -0.6259209545632651, -0.23045206130598642]",3315,14993
18,,"[-0.30433552373899025, -0.8376692353609859, 0.3839392464593152]",,,"[-0.07439281323097707, -0.7043353923606162, -0.22900805402103125]","[-0.2014987336557357, -0.7006633766817973, -0.16596256812292387]","[-0.31875086164381516, -0.77691882348192, 0.12819122401322672]",6355,14704
19,"[0.1327669287119338, -0.5369796244014868, -0.34343064900400344]","[-0.02303524326422731, -0.5835727762412346, -0.36238774563130643]",,,"[0.07737106761721853, -0.6093567006681295, 0.1403865562213003]","[-0.04260689935666209, -0.5852278204715025, 0.07027514516311495]",,5002,13915
20,"[-0.13093719738695261, -0.5396380890582457, -0.19089406176597404]","[-0.12191298079914009, -0.25471403687168326, -0.0903203712390804]","[-0.16799326015086827, -0.5558798347856627, -0.31976370560592055]",,"[-0.44593309744374454, -1.2775162145220504, 0.6352836241430845]","[-0.29363211839071496, -0.5739867838357307, 0.18353573422083028]",,2822,15806
21,"[0.11652536382339056, -0.6599342250278581, -0.33957572021096266]","[0.008824554298645565, -0.6599124426935351, -0.38135445671128837]","[0.20594554751643196, -0.9258204158988015, -0.5861228012844039]","[0.019598527647809776, -0.6800882791997057, -0.19687620070702472]","[-0.1695934735066781, -0.6673298000305146, -0.014129985634586874]","[-0.22965272299817407, -0.6973477025236758, -0.10885934397234358]","[-0.11258375283246702, -0.6596844150913749, -0.28292369896148545]",2920,7474
22,,,,"[0.15825449655586377, -0.694965628399175, 0.0320459745439846]","[-0.06107663762223174, -0.6791149799874455, -0.13728036649860187]","[-0.0792377243691494, -0.6886032827169638, -0.05252176050726626]","[0.008444872719718104, -0.6950133462684603, 0.12642423368444447]",2949,9962
23,,"[-0.13667152300435328, -0.7259464748814799, 0.31901414654245175]",,"[-0.013833202264829241, -0.6288253378224202, 0.06314477674598008]","[-0.09368678498181787, -0.5383728897988959, -0.17470830649172428]","[-0.17631955420687895, -0.5557425514026605, -0.10563071268488991]","[-0.2138482891530565, -0.6125983866350935, 0.1034813051084756]",3315,15147
24,"[0.2713456506882075, -0.7507626599951316, 0.27216276653016475]",,,,"[-0.13743762015929603, -0.7026666713406751, -0.15625661342466363]","[-0.19016128366867346, -0.7061049874705867, -0.0590202930980276]","[-0.061136435959019374, -0.7772883313052271, 0.20470770673273403]",5711,7957
25,"[0.1322053117150046, -0.5011990834822262, -0.21190263548907878]","[0.02928577873582975, -0.5136741087387391, -0.21738018219810587]","[0.10920752790267746, -0.5157113676168444, -0.3100231233071548]","[0.1236388660236992, -0.5175842735261429, -0.07346950292560872]","[0.0650367245671246, -0.5201738948113532, 0.14243571117478168]","[-0.008750605758786941, -0.47336165637794275, 0.07907464572599929]","[-0.030859787858206113, -0.49777136462727506, -0.1058640263519245]",1673,15412
